Round,GLOSS,Gaelic,ConcatGLOSSGaelic,interleavingGdGLOSS,ReplacingGaelic,ReplacingGLOSS,Para,ParaPart,ParaPartHalf,ParaPartHalfOver,OverGaelic,google ,ParaWrong,Over3,Over4
0,18.39,17.29,15.42,13.67,9.44,15.95,30.4,32.64,24.07,26.31,29.05,22.09,25.42,28.52,29.74
1,18,16.42,14.31,12.49,9.07,15.6,30.07,32.28,18.58,24.85,28.61,25.38,25.32,27.04,25.53
2,16.02,15.29,15.38,11.01,7.69,14.15,26.05,29.94,18,22.96,23.78,23.72,20.72,28.19,23.6
3,20.22,15.97,14.18,12.33,9.12,14.72,29.67,31.18,22.25,25.48,27.5,23.21,22.22,28.77,28.61
4,19.02,17.79,18.63,12.56,9.08,15.74,28.86,32.83,23.79,25.33,25.51,22.31,24.27,28.43,28.61
5,15.53,16.73,14.89,12.13,10.45,14.88,29.46,31.11,21.4,24.39,27.88,23.41,24.55,26.28,25.31
6,18,17.11,15.16,11.55,8.62,14.45,30.57,32.19,23.61,26.29,25.72,24.53,27.03,27.73,26.5
7,20.08,16.37,15.2,12.78,10,16.41,30.45,33.52,23.73,25.61,27.12,22.78,25.34,27.84,28.84
8,15.82,15.93,15.5,12.43,10.52,15.15,28.83,30.93,23.16,25.59,25.2,25.67,24.24,28.4,29.19
9,15.93,16.99,15.72,11.65,8.46,17.61,31.28,34.35,24.49,26.32,26.39,23.42,25.96,28.44,28.73
Mean,17.701,16.589,15.439,12.26,9.245,15.466,29.564,32.097,22.308,25.313,26.676,23.652,24.507,27.964,27.466
